| event_message                                                                                                                                                   | id                                   | identifier           | method | path                                                      | status_code | timestamp        |
| --------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------ | -------------------- | ------ | --------------------------------------------------------- | ----------- | ---------------- |
| DELETE | 404 | 34.29.52.147 | 930e7dc9ac9cf851 | https://rrqefsxymripcvoabers.supabase.co/auth/v1/admin/users/8473b86b-3319-47ba-8927-a70e939f1670 | node       | 9753ca6d-346e-428c-a116-87bcaa9f6c05 | rrqefsxymripcvoabers | DELETE | /auth/v1/admin/users/8473b86b-3319-47ba-8927-a70e939f1670 | 404         | 1744752073401000 |
| DELETE | 200 | 34.29.52.147 | 930e7dc6bc90141c | https://rrqefsxymripcvoabers.supabase.co/auth/v1/admin/users/8473b86b-3319-47ba-8927-a70e939f1670 | node       | 5eebf13e-f18e-45ba-b8ee-eede4bd8be08 | rrqefsxymripcvoabers | DELETE | /auth/v1/admin/users/8473b86b-3319-47ba-8927-a70e939f1670 | 200         | 1744752073176000 |
| POST | 403 | 34.29.52.147 | 930e7dc3daef141c | https://rrqefsxymripcvoabers.supabase.co/rest/v1/users?select=* | node                                           | d32d205b-996f-441f-8390-dfc3168598b2 | rrqefsxymripcvoabers | POST   | /rest/v1/users                                            | 403         | 1744752072736000 |
| PUT | 500 | 34.29.52.147 | 930e7dc0a804141c | https://rrqefsxymripcvoabers.supabase.co/auth/v1/user | node                                                      | e43fcb2c-5206-445e-8b4c-9e7d666864ad | rrqefsxymripcvoabers | PUT    | /auth/v1/user                                             | 500         | 1744752072208000 |
| POST | 200 | 34.29.52.147 | 930e7dbd3b83141c | https://rrqefsxymripcvoabers.supabase.co/auth/v1/signup?redirect_to=http%3A%2F%2Flocalhost%3A3000%2Flogin | node | e0dc25e4-79dc-4c93-99b6-617e10623bf3 | rrqefsxymripcvoabers | POST   | /auth/v1/signup                                           | 200         | 1744752071766000 |
| GET | 406 | 34.29.52.147 | 930e7dba5943141c | https://rrqefsxymripcvoabers.supabase.co/rest/v1/users?select=*&username=eq.teste02 | node                        | 719a9e16-eaa5-4862-880b-cb9eb43d47d1 | rrqefsxymripcvoabers | GET    | /rest/v1/users                                            | 406         | 1744752071218000 |
| GET | 200 | 34.29.52.147 | 930e7cdeba952226 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/service_categories?select=* | node                               | 101f373c-418e-48ec-8bbc-58017580c03e | rrqefsxymripcvoabers | GET    | /rest/v1/service_categories                               | 200         | 1744752036086000 |
| GET | 200 | 34.29.52.147 | 930e7cdeccbfe805 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/services?select=*%2Cservice_categories%28*%29 | node             | 8c6b96b1-9168-4129-b0ab-31d0febc3ce6 | rrqefsxymripcvoabers | GET    | /rest/v1/services                                         | 200         | 1744752035810000 |
| GET | 200 | 34.29.52.147 | 930e7b40dd456302 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/services?select=*%2Cservice_categories%28*%29 | node             | 2fbecff5-22dd-4201-9367-2a73e4e63f2b | rrqefsxymripcvoabers | GET    | /rest/v1/services                                         | 200         | 1744751969882000 |
| GET | 200 | 34.29.52.147 | 930e7b40ac906197 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/service_categories?select=* | node                               | 358bc732-df65-443f-be21-459d74f62349 | rrqefsxymripcvoabers | GET    | /rest/v1/service_categories                               | 200         | 1744751969859000 |
| GET | 200 | 34.29.52.147 | 930e79e0dfd7cc6e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/services?select=*%2Cservice_categories%28*%29 | node             | fdc6d785-b028-476a-806d-1af04bf56756 | rrqefsxymripcvoabers | GET    | /rest/v1/services                                         | 200         | 1744751913537000 |
| GET | 200 | 34.29.52.147 | 930e79e0c9466172 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/service_categories?select=* | node                               | 8507456c-a0a4-48c2-a49c-a9bd800dad8b | rrqefsxymripcvoabers | GET    | /rest/v1/service_categories                               | 200         | 1744751913532000 |
| GET | 200 | 34.29.52.147 | 930e78304807c8d4 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/services?select=*%2Cservice_categories%28*%29 | node             | 8ae53145-f006-4680-9942-428668a5ceb8 | rrqefsxymripcvoabers | GET    | /rest/v1/services                                         | 200         | 1744751844380000 |
| GET | 200 | 34.29.52.147 | 930e78303f34eb58 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/service_categories?select=* | node                               | 21099675-30e8-4721-b8b9-535339ad7c36 | rrqefsxymripcvoabers | GET    | /rest/v1/service_categories                               | 200         | 1744751844347000 |
| GET | 200 | 34.29.52.147 | 930e6c8a5a1aaca6 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/service_categories?select=* | node                               | c5e3ac1e-8dbc-4821-907c-58a87321a200 | rrqefsxymripcvoabers | GET    | /rest/v1/service_categories                               | 200         | 1744751367243000 |
| GET | 200 | 34.29.52.147 | 930e6c8a5d1cf60c | https://rrqefsxymripcvoabers.supabase.co/rest/v1/services?select=*%2Cservice_categories%28*%29 | node             | 5d108e61-e9a6-4a0e-b630-9af7b8cccc3b | rrqefsxymripcvoabers | GET    | /rest/v1/services                                         | 200         | 1744751367018000 |
| POST | 404 | 34.29.52.147 | 930e681cee28f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 797fcee0-3e20-4c2e-aa52-3ff5434d0f75 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751185828000 |
| POST | 404 | 34.29.52.147 | 930e681beab5f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 6b768856-59ce-497a-882d-cfff18baadc4 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751185405000 |
| POST | 404 | 34.29.52.147 | 930e681adeaff85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 418add49-aa63-4747-bcd9-dcfedf7797a9 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751185247000 |
| POST | 404 | 34.29.52.147 | 930e6819cb2af85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 424208be-a3aa-43cc-8b3f-4a34f94bd736 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751185071000 |
| POST | 404 | 34.29.52.147 | 930e6818cf76f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 5ef43cf2-68f7-499b-b81c-ef6627defae5 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751184910000 |
| POST | 404 | 34.29.52.147 | 930e6817cbd4f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 8b2fbc58-0afb-4876-bbaf-d63d55a7b0f6 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751184742000 |
| POST | 404 | 34.29.52.147 | 930e6816c878f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | dacde6e8-55a8-4c21-9806-c790b6ba0529 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751184585000 |
| GET | 404 | 34.29.52.147 | 930e6815cccff85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/loyalty_history?select=count&limit=1 | node                      | 128ecfbc-2ab9-4348-b8f7-15c710d468f8 | rrqefsxymripcvoabers | GET    | /rest/v1/loyalty_history                                  | 404         | 1744751184425000 |
| POST | 404 | 34.29.52.147 | 930e6814a8caf85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 557d1e85-29d5-48b1-9005-bef23cc7d111 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751184263000 |
| POST | 404 | 34.29.52.147 | 930e6813ad32f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 81386fe5-89b0-4f34-9b7b-4672822f6203 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751184085000 |
